# id   lat         lon           alt   title /other title/, cat
13102   32.0439000   77.2799000  3399  пер. Rasol /Ришол-Жот/, н/к
13103   32.1200200   77.1073700  3161  вер. Димухин 
13104   32.3718200   77.2469100  3977  пер. Rahtang /Ратанг/, н/к
13105   32.2691100   77.3482430  4275  пер. Hamta /Хамта/
13106   32.1955200   77.3829700  6001  вер. Deo Tibba
13107   32.2138200   77.3964500  6221  вер. Indrasan
13108   32.2121800   77.5536900  6451  вер. Papsura
13109   32.1987900   77.5654900  6445  вер. White Sail /Dharmsura/
13110   32.0732700   77.7538100  6408  вер. Dibibokri Pyramid
13124   32.0906600   77.7345090  6632  вер. Parbati Parbat
13125   32.1260060   77.7687130  6360  вер. Khhang Shiling
13126   32.1371311   77.7759250  6526  вер. Shigri Parbat
13127   32.1251219   77.7105150  6553  вер. Kullu Pumori
13128   32.1790461   77.8047119  6412  вер. Snow Cone
13129   32.1925969   77.7880569  6309  вер. Gunthar Peak
13130   32.2401000   77.6756820  6250  вер. Central Peak
13131   32.0368450   77.7765560  6507  вер. Dibibokri Parvat
13132   32.0824800   77.7461710  5950  пер. Dibibikri Col
13133   32.0029120   77.7408140     0  вер. Rubal Kang
13134   32.1055660   77.6824590  6349  вер. Kullu Makalu /Lal Quila/
13135   32.1300300   77.6622850  5930  вер. Cathedral /Chapter Pk./
13136   32.1422950   77.6526500  5980  вер. Tiger Tooth Peak
13137   32.1597000   77.6072969  5870  вер. Dharmi Chura
13138   32.1657139   77.6039361  5412  пер. Toshigri Col
13139   32.1716539   77.5999669  5730  вер. Snow Dome
13140   32.1836450   77.6971310  5670  вер. Concave Peak
13141   32.2205690   77.5462920  6200  вер. Devachan Peak
13142   32.2331681   77.5494839  6150  вер. Lalana Peak
13143   32.2855640   77.7285440  6090  вер. Un Peak III
13144   32.3953489   77.6343739  4540  пер. Kunzum La /Кунзам/, н/к
13145   32.4192170   77.6279920  4684  пер. Balhamo /Баламо/, 1А
13146   32.3331700   77.5839380  5822  вер. CB16
13147   32.3325170   77.5485900  6248  вер. CB12
13148   32.3514100   77.5557150  6264  вер. CB13
13149   32.3711670   77.5669180  6078  вер. CB14
13150   32.3724190   77.4923160  6044  вер. CB11
13151   32.2401450   77.5410880  6265  вер. Lalana
13152   32.2043381   77.5138850  5060  пер. Sara Umga La, 2А
13153   32.4264339   77.4837050  5840  вер. CB30
13154   32.4312560   77.4707680  6096  вер. CB31
13155   32.4477110   77.4794390  6227  вер. CB10
13156   32.4716910   77.4866020  6172  вер. CB33
13157   32.4718720   77.4774820  6000  вер. CB33a
13158   32.5452761   77.4113600  6517  вер. Mulkila IV
13159   32.5686731   77.4572711  6108  вер. CB9
13160   32.4860711   77.2028661  5870  вер. Gepang Goh
13161   32.1707439   77.3902611  5020  пер. Dhuanga col
13162   32.1602100   77.3824000  5226  вер. Norbu
13163   32.1357700   77.4436690  4746  пер. Animals Pass
13164   32.1577039   77.3462619  5170  вер. Consolation Peak
13165   32.3540331   77.1907561     0  вер. Patalsu Peak
13166   32.0697211   77.2410869  3650  пер. Chandrakhani,  н/к
13167   32.2249050   77.6973169  6120  вер. Lion Pk.
13169   32.1452431   77.6861739  5631  вер. Jeldi
13170   32.1384789   77.6579411  5635  пер. Gunthers col /Layul/
13171   32.1035389   77.7046619  6110  вер. Corner Pk.
13177   32.2237561   77.1311081  4025  вер. Khanpa Ri
13178   32.1123778   77.7761556  5785  пер. Parahio Col.
13179   32.1338667   77.6244167  5410  пер. 5410
13180   32.2780439   77.3792361  5087  вер. Махура-Тап
13181   32.4192869   77.7722739  5148  вер. Ганмо
13186   31.9041667   77.8019444  5360  пер. Debsa
13188   31.9755481   77.7836850  5470  пер. Ratiruni N.
13189   32.3419689   77.0408061  5928  вер. Hanuman Tibba
13190   32.0811231   77.6854111  5869  вер. White Pk.
13191   32.0717731   77.6754419  5941  вер. Black Pk.
13192   32.0515611   77.6698439  5782  вер. Ice Sail
13193   32.0350089   77.6274800  5755  вер. West Horn
13194   32.0592911   77.6750189  5576  вер. Shakka Kang
13195   32.1001000   77.6744600  6190  вер. Rubal Kang
13196   32.1756989   77.5835119  6041  вер. Shigrila
13197   32.1871911   77.5692911  5941  вер. Angdu Ri
13198   32.2728839   77.9578469  5366  вер. Lamandi /Ламанди/
13199   32.1950550   77.8624611  6170  вер. Ratang Tower
13200   32.1830661   77.8343711  6207  вер. Ratang
13201   32.3540550   77.7214731  6270  вер. Karcha Parbat
13202   32.3331531   77.7440319  5151  вер. Fluted Pk.
13203   32.3387200   77.7532600  5715  пер. Losar
13204   32.3564669   77.7755881  6160  вер. Laushar
13205   32.3648011   77.7787300  5850  пер. Gyundi
13206   32.3742869   77.7801350  6138  вер. Larimo
13207   32.4771289   77.3039561  4930  пер. Tempo La
13208   32.4806381   77.3512911  5547  вер. Sri Lata
13209   32.4882881   77.3652231  5580  вер. Tent Pk.
13222   32.0903750   77.6891750  5500  пер. 5500 /Western Dibibokri Gl. - N2 Dibibokri Gl./
13223   32.0116056   77.7808222     0  пер. 5640
13224   32.0524611   77.6285361     0  пер. 5335
13329   31.9709900   77.7801231  5656  вер. Ratiruni Pyramid
13330   31.9647561   77.7801969  5446  пер. Ratiruni C., 2А
13331   31.9541989   77.7718639  5376  пер. Ratiruni S.
13342   32.0582961   77.8116911  6315  вер. Kangla Tarbo I
13343   32.0620931   77.8159739  6248  вер. Kangla Tarbo II
