# id   lat         lon           alt   title /other title/, cat
10008   28.5958330   83.8200830  8091  вер. Annapurna I
10556   28.6124980   83.5632320  5007  вер. Sarpang Dhuri
10557   28.3999230   83.6892620  3193  вер. Poon Hill
10558   28.6043080   83.6841590  4310  пер. Thulobugun Pass /Pass April 27/
10562   28.6549570   83.7297910  6839  вер. Nilgiri S
10563   28.6490420   83.7340410  6765  вер. Nilgiri SE
10564   28.6049060   83.9635750  7454  вер. Ganggapurna
10565   28.6050530   83.9141650  7069  вер. Tare Kang /Glacier Dome/
10566   28.5873270   83.8829850  6501  вер. Singu Chuli /Fluted Peak/
10567   28.6134340   83.8717230  7485  вер. Khangsar Kang /Roc Nuir/
10568   28.5774910   83.8014470  7647  вер. Bharna Chuli /Fang/
10582   28.5617700   83.8901880  5695  вер. Tharpu Chuli /Tent Peak/
10583   28.5385470   83.9600510  6248  вер. Gandharwa Chuli
10584   28.4973660   83.9457440  6997  вер. Machhapuchhre
10585   28.5102500   83.8494440  6441  вер. Patal Hiun Chuli
10586   28.5183530   83.8061430  7219  вер. Annapurna S
10590   28.5847330   83.9899270  7555  вер. Annapurna III
10592   28.4733730   83.9278350  5553  вер. Mardi Himal
