# id   lat         lon           alt   title /other title/, cat
13102   32.0439000   77.2799000  3399  пер. Rasol /Ришол-Жот/, н/к
13103   32.1200200   77.1073700  3161  вер. Димухин 
13105   32.2691100   77.3482431  4275  пер. Hamta /Хамта/
13106   32.1955200   77.3829700  6001  вер. Deo Tibba
13107   32.2138200   77.3964500  6221  вер. Indrasan
13161   32.1707439   77.3902611  5020  пер. Dhuanga col
13162   32.1602100   77.3824000  5226  вер. Norbu
13163   32.1357700   77.4436690  4746  пер. Animals Pass
13164   32.1577039   77.3462619  5170  вер. Consolation Peak
13166   32.0697211   77.2410869  3650  пер. Chandrakhani,  н/к
13177   32.2237561   77.1311081  4025  вер. Khanpa Ri
13180   32.2780439   77.3792361  5087  вер. Махура-Тап
18447   32.3195100   77.2824700     0  вер. Pataori Jot
18448   32.3269000   77.2629300  4680  вер. Khrei Ra Jot
18449   32.2897200   77.3396900     0  вер. Harshin Jot
18450   32.2719300   77.4193300     0  вер. Mahura
18494   32.1034300   77.4092400     0  вер. Paptula
18495   32.0982600   77.4062200  5470  вер. Ali Ratni Tibba
18496   32.0900300   77.3904900  5320  вер. Manikaran Spires Pt.
18497   32.0869100   77.3942200  5120  вер. Manikaran Spires Pt
18498   32.0814600   77.4327200  5429  вер. South Malana Peak
18499   32.0732700   77.4144300     0  вер. Dharmi Chura 
18500   32.0669000   77.4388900     0  вер. Papi Chura
18501   32.0686800   77.4486400     0  вер. Dharmi Chura 
18502   32.1510300   77.3977300  5134  вер. Girvo Koti Peak 
18503   32.1650300   77.3011100     0  вер. Shirgan Tungu 
18504   32.1747600   77.3170100     0  вер. Gohru
18505   32.2325300   77.2601700     0  вер. Sethan Dome 
