# id   lat         lon           alt   title /other title/, cat
2004   39.6678167   70.3665861  3850  пер. Верхне-Джаупайский, 1А
2014   39.6819444   70.2880556  3000  пер. Каравшин, 1А
2020   39.7096800   70.4367500  3400  пер. Куганды, н/к
2022   39.7474700   70.4878900  3900  пер. Лар, 1А*
14341   39.6680222   70.2260361  3280  пер. Кош-Майнок, н/к
14357   39.6757389   70.1807361  3595  пер. Джалгычи, н/к
14358   39.7086722   70.1582028  3780  пер. Акташ, н/к
14359   39.7565528   70.1366389  2795  пер. Бульджума, н/к
14360   39.7715694   70.2380000  3205  пер. Упоным, н/к
14450   39.8178100   70.3757400  2915  пер. Сарыяз, н/к
19147   39.6852000   70.4959300  4100  пер. Горбачева, 1Б
