# id   lat         lon           alt   title /other title/, cat
2000   39.6810083   70.6237389  4330  пер. Бирксу, 1Б
2008   39.7308250   70.5625660  4050  пер. Джиптык, 1А
2012   39.6923833   70.6021611  4200  пер. Калининградский, 1Б
2018   39.6997600   70.5271200  4150  пер. Красный, 1Б
2027   39.6682800   70.5432900  4460  пер. Минтеке С., 1Б
2036   39.7017200   70.5134900  4100  пер. 50 лет Советской Армии, 1Б
2045   39.7797800   70.8472300  3100  пер. Сымат, н/к
2052   39.7816100   70.5224600  3500  пер. Тотен, 1А
2058   39.7756472   70.6689333  2750  пер. Чургень /Дунон/, н/к
2060   39.6882700   70.5177400  4500  пер. Хотуртау /Осыпной/, 1Б
2074   39.6847083   70.7146861  4070  пер. Двойной, 1Б
2075   39.6795472   70.8187611  2500  пер. Джанарча, н/к
2081   39.6949139   70.7634917  3200  пер. Курдактыр, н/к
2087   39.6685139   70.7110333  4250  пер. 50 лет ВЛКСМ, 2А*
2088   39.6670278   70.7058417  4500  пер. Спартак, 2Б
2090   39.6743306   70.7088250  4200  пер. Тубек, 1Б
14457   39.6708800   70.7424800  3900  пер. Оригинал, 2Б
