# id   lat         lon           alt   title /other title/, cat
5838   36.9850583   71.6942722  5200  пер. Госпром, 2А
5839   36.9634500   71.6980083  5100  пер. Ив, 2А
5840   36.9455028   71.7045083  5050  пер. Абхарв I С., 1Б*
5841   36.9324833   71.7051028  5300  пер. Абхарв II Ю., 2А
5842   36.9161556   71.7202417  5300  пер. Изюминка, 2Б
5843   36.9108611   71.7245306  5300  пер. Снежный, 2Б
5844   36.9009083   71.7383472  5200  пер. Амбарку, 2А*
5855   36.9004389   71.7613667  5260  пер. Плато Амбарку, 3А
5856   36.8880639   71.7447028  5350  пер. Бадахшанский, 2А*
5862   36.9056556   71.7885083  5500  пер. Академика Берга, 2Б
5863   36.9244417   71.8039750  5265  пер. Келдыша, 2Б
5885   36.9996389   71.8404528  5100  пер. Камнеопасный, 2Б
5886   36.9814583   71.8824500  5100  пер. Даршай, 1Б
5887   36.9713333   71.9045250  5100  пер. Шпинель, 2Б
5888   36.9637861   71.9112333  5000  пер. Сибиряк, 2Б
5889   36.9586528   71.9501083  4800  пер. Шитхарв, 1Б
5894   36.9934528   71.9524972  4850  пер. Туристов Днепропетровска, 2А
