# id   lat         lon           alt   title /other title/, cat
5755   38.2699740   73.7307920  4235  пер. Ак-Таш, н/к
10362   38.2901610   73.7310520  5053  вер. Кызыл-Кыр
10363   38.3098230   73.7759450  5312  вер. Саткин-Джылга
11546   38.1382750   73.5058400  5102  вер. Узеньгю-Кыштоо
11547   38.1009890   73.6896610  4726  вер. Бозтере
11548   38.1216050   73.7028470  4200  вер. Чортон
11549   38.1120160   73.7622660  4735  вер. Эннеле-Таш
11550   38.0934360   73.8099170  4541  вер. Кызыл
11551   38.1095180   73.8804180  4062  вер. Кош-Таш
11559   38.2207570   73.5556420  4972  вер. Кыштоо
11560   38.1980320   73.6385350  5389  вер. Каязен
11561   38.1481430   73.6757300  4404  вер. Кайынгды
11562   38.2207719   73.8229861  4731  пер. Гумбезкол, 1А
11563   38.2092190   73.9680920  4140  пер. 4140
11564   38.2482000   73.9795860  4158  вер. Отава-Утек
11570   38.3059910   73.9146950  5524  вер. Кара-Джылга
