# id   lat         lon           alt   title /other title/, cat
5946   37.1625000   72.5015694  5500  пер. Зугванд, 3Б
5947   37.1752472   72.5612833  5500  пер. Чюрлениса, 3А
5948   37.1913694   72.5828639  5150  пер. Касвир, 3А
5949   37.1937000   72.5958833  5650  пер. Акба С., 2Б*
5950   37.2358333   72.5912306  5200  пер. Пограничников, 2Б
5962   37.1998250   72.5065639  4900  пер. II съезд РСДРП, 2А
5963   37.1942971   72.5070630  5086  пер. Ф.Энгельса, 2А
5966   37.2332667   72.5679972  4900  пер. Афгано-советской дружбы, 2А
5968   37.2433139   72.6047639  4800  пер. Шал, 2А
5973   37.1451056   72.5205139  5200  пер. Альпинистов, 2А
5974   37.1900778   72.5972667  5670  пер. Акба Ю., 3А
5975   37.1770611   72.6389806  5300  пер. Арбат, 2Б*
7317   37.1077778   73.1730556  6040  вер. Koh-e-Maghrebi
7318   36.8844444   73.3475000  3882  пер. Барогиль /Boroghil/, н/к
7319   36.8844444   73.2436111  5971  вер. Гаркаб
7320   36.8861111   73.0763889  4963  пер. Канхунан
7321   36.8397222   72.8861111  5381  пер. Очхила
7322   36.8422222   72.6838889  5243  пер. Пхурнисини
7323   36.8188889   72.5505556  5211  пер. Аношах
7326   36.8775000   72.9588889  6513  вер. Koh-e Baba Tangi
7332   37.3244759   72.6723233  4432  пер. Мац, н/к
7333   37.3138287   72.6482855  4520  пер. Озерный, н/к
7334   37.2682582   72.6458136  4740  пер. Ворота Рачива, 1А
7335   37.2326621   72.6067665  5240  пер. Джавшанкоз-Акба, 2А
7361   36.8016667   72.5244444  6260  вер. Koh-e Uparisina
7362   36.7791667   72.5011111  6384  вер. Kachek
7363   36.7891667   72.5097222  5990  вер. Koh-e Ariana
7370   36.8541667   72.7519444  6309  вер. Kohanha-e Sarqi
7371   36.8636111   72.5262500  6030  вер. Koh-e Barfi /Снежная Гора/
7379   36.8625000   72.5350000  6210  вер. Koh-e James
7385   36.8932778   72.5441667  6164  вер. Koh-e Kamisktar
7390   36.8572222   72.7013889  5232  вер. Koh-e Lashkhor
7395   36.8788889   72.5291667  6328  вер. Koh-e Qala Panja
7396   36.8375000   72.5552778  6150  вер. Koh-e Sedara /Koh-e Setara/
7405   36.8375000   72.7188889  5924  вер. Koh-e Syah
7420   36.8522222   72.6525000  6502  вер. Rahozon Zom N
7421   36.8430556   72.6547222  6553  вер. Rahozon Zom S
7425   36.8380556   72.5900000  5930  вер. Koh-e Rank
7426   37.1644444   73.2650000  6240  вер. Koh-i-Marco Polo
7427   37.1350000   73.2597222  6386  вер. Koh-i-Pamir
7428   37.1475000   73.2158333  6421  вер. Koh-i-Helal /Снежная Глыба/
7429   37.0813889   73.1911111  6120  вер. Koh-e-Bardar
7793   37.1717056   72.5235575  6507  вер. пик Энгельса
7796   37.1154116   72.4997705  6565  вер. пик Таджикистана
7797   37.1028849   72.5125600  6222  вер. пик ЛГУ
8434   37.0783353   72.8857087  4620  пер. Kotal-e-Vazit /Вазит/
8435   37.0320589   72.9420968  4780  пер. Kotal-e-Sargaz /Саргаз/
8436   37.2857916   73.0293110  4418  вер. Джильгирт
8437   37.2061494   72.9100481  4401  пер. Shuweld
8438   37.2687339   73.5334280  4892  пер. Kotal-e-Shaur
8439   37.2070176   73.7402588  4900  пер. Kotal-e-Shpedgis /Kotal-e-Ghorumdehi/
8440   37.1427320   73.2666269  6020  вер. Koh-e-Khaen
8441   37.1141746   73.1847611  6101  вер. Koh-e-Seh Asp-e-Safed
8762   37.2479133   72.8204956  3985  пер. Дарвозабай, н/к
8763   37.0516188   73.1927045  6080  вер. Koh-i-Purwakshan
8875   37.2989306   72.6573811  5348  вер. пик Конус
9923   37.1795444   72.6186694  5500  пер. НЭТИ, 3А
9925   37.1274750   72.5508361  6075  вер. пик Московской Правды
9926   37.1752139   72.5759972  6141  вер. пик Тбилисского ГУ
