# id   lat         lon           alt   title /other title/, cat
 111   42.9671500   43.5925830  3722  пер. Столетия, 1А
 112   42.9388830   43.5776170  3500  пер. Айхва, 1Б
2327   42.6675017   44.6898083  3620  пер. Казбеги, 2Б
2329   42.6532517   44.7054083  3731  пер. Шино, 2Б
2330   42.6383267   44.7178750  3629  пер. Леракт, 1Б
2331   42.6241283   44.7078317  3216  пер. Боковой, 1А
2332   42.6307000   44.7315330  3550  пер. Шаванский, 2А
2333   42.6244167   44.7385333  3447  пер. Кибиши Зап. /Кибеша Зап./, 1А*
2334   42.6175333   44.7540333  3494  пер. Кибиши Центр. /Кибеша Центр./, 1Б
2335   42.6268667   44.7619833  3543  пер. Кибиши Вост. /Кибеша Вост./, 1А*
2336   42.7483783   44.6894650  3256  пер. Охкур, 1А
2337   42.7186833   44.7472717  3760  пер. Салги, 1Б*
2339   42.7110817   44.7494383  3784  пер. Кич, 2Б
2340   42.6846550   44.7504050  3950  пер. 60 лет ЧИАССР /Братьев Газдановых/, 3А
2341   42.6695833   44.7546967  4175  пер. ГКТ /Грозненского клуба туристов/, 3Б
2343   42.6463450   44.7649950  3769  пер. Нади Рушевой Сев. /Ягодка/, 2А
2344   42.6424300   44.7663683  3818  пер. Нади Рушевой Южн., 1Б*
2345   42.6408333   44.7750800  3669  пер. Хрустальный, 2А*
2346   42.6349650   44.7794900  3450  пер. Шан Зап. /Джавартхорхи/, 1Б
2347   42.6156600   44.8142200  3438  пер. Шан Вост. /Нарован/, 1А
2348   42.6964017   44.8262783  3382  пер. Скалистый /Осыпной/, 1Б
2349   42.8402583   44.7723767  2132  пер. Герчоч, н/к
2351   42.7486267   44.9173667  3108  пер. Терхкорт, 1А
2354   42.7097400   44.8687000  3612  пер. Маамгосгеле /Саамгосгеле/, 2А
2355   42.6913517   44.8669617  3647  пер. Салашкросгеле /Салачкросгеле/, 1Б*
2357   42.6752028   44.8497306  3725  пер. Кидеганский /Трезубец, Саджихвисгеле Южн./, 3А
2358   42.6735483   44.8354200  4170  пер. Крыленко, 3Б
2360   42.6438817   44.8277383  3691  пер. Сахарисгеле, 1Б
2361   42.6291067   44.8256783  3491  пер. Шибугеле, 1А*
2362   42.6121483   44.8414700  3437  пер. Самтрехлосгеле, 1Б
2363   42.6082933   44.8518567  3539  пер. Московских туристов, 2А
2365   42.5983167   44.8539222  3230  пер. Архотистависгеле, 1А
2384   42.7770233   44.9742083  2200  пер. Нелх, 1А
2397   42.5068444   44.7371861  2347  пер. Квенамта /Гудамакарский/, н/к
2398   42.5328150   44.7761367  3483  пер. Бурсачили, 1Б
2399   42.5383400   44.7667400  3380  пер. Чаухи Зап., 1Б*
2400   42.5342361   44.7815389  3437  пер. Чаухи Южный Зап., 1Б*
2401   42.5353278   44.7861528  3486  пер. Чаухи Южный Вост., 1Б
2402   42.5294056   44.7845333  3403  пер. Сланцевый, 1Б
2403   42.5389400   44.8183400  3422  пер. Чаухи Вост., 2Б*
2404   42.5335250   44.8245617  3486  пер. Синдаурис, 2А
2405   42.5432550   44.7928050  3600  пер. Чаухи Сев., 2А*
2406   42.5555500   44.8152669  3338  пер. Чаухи, 1А
2407   42.4836417   44.7586367  2558  пер. Кидаки /2558/, н/к
2408   42.5016867   44.8017317  3000  пер. Бакурхеви, 1Б
2409   42.4907783   44.8278233  2839  пер. Охерхеви /Орхеви/, 1А
2410   42.5179667   44.8175833  3180  пер. Гудамакарский Сев., 1Б
2411   42.4760067   44.8393700  2653  пер. Пхитури, н/к
2412   42.5200583   44.8404617  2782  пер. Кодысакаровисгеле, н/к
2413   42.5395950   44.8494967  2740  пер. Сакария /Саарцивис/, 1А
2414   42.5250800   44.8535300  2584  пер. Иглисгеле, н/к
2415   42.5822367   44.8418567  3056  пер. Садзелисгеле, н/к
2416   42.5900883   44.8879917  2968  пер. Боговатчосгеле /Рошкисгеле/, 1А
2417   42.5580433   44.8908233  2318  пер. Блогеле, н/к
2418   42.5939283   44.9073450  2935  пер. Архотисгеле /Архоти/, 1А
2420   42.6016350   44.9647667  2978  пер. Колотанисгеле, 1А
2421   42.5991083   44.9959667  3041  пер. Таниэсгеле, 1А
3777   42.8490411   43.6255219  2900  пер. Авсанау, н/к-1А
3778   42.8330800   43.6103400  3500  пер. Бартуй С., 2Б
3779   42.8213100   43.6078300  3600  пер. Бартуй Южный, 2А
3780   42.7933500   43.6450800  3450  пер. Боковой, 1Б
3782   42.8406400   43.6096700  3400  пер. Геби-Бартуй /Бартуй-Геби/, 1Б
3783   42.8382800   43.6047800  3465  пер. Гебивцек, 1Б
3787   42.7953000   43.6538200  3325  пер. Гурдзивцек, 1Б
3794   42.8379167   43.6586833  3500  пер. Иська, 2Б
3797   42.8466730   43.6138280  3000  пер. Короткий, 1А
3798   42.8331900   43.6590500  3450  пер. Красивый, 1Б*
3800   42.8976611   43.5011333  3800  пер. Бауманцев, 2А
3804   42.8020800   43.6322900  3450  пер. Ноцарули /Веры Флеровой/, 1Б
3805   42.8121500   43.6272200  4000  пер. НПИ /Новочеркасского политехнического института/, 2Б
3806   42.8376833   43.6659833  3600  пер. Озерковый /Цадивцег/, 1Б-2А
3807   42.8093500   43.6388800  4020  пер. Олимпийский, 2Б
3814   42.8030500   43.6951500  3640  пер. Фастаг, 2А
3815   42.8308200   43.6552200  3450  пер. Цагардор, 1Б
3816   42.8078100   43.6047400  3600  пер. Цирт /Шолохова/, 1А
3819   42.8168700   43.6427800  3670  пер. Цихварга, 2Б*
3821   42.7974600   43.6448800  3500  пер. Чиорский С., 1Б
3822   42.7951500   43.6431900  3500  пер. Чиорский Ю., 1Б
3823   42.8087600   43.6186100  3610  пер. Шота Руставели, 2А
3829   42.8299167   43.6532500  3400  пер. Электрон, 2А-2Б
3830   42.8570300   43.5908700  3420  пер. Эльдыр, 1Б-2А
3833   42.9580500   43.5782700  3650  пер. Белаг Сев., 2А
3834   42.9502070   43.5769340  3755  пер. Белаг Центр. /Кедрина Ложн./, 1Б
3835   42.9351000   43.5858600  3507  пер. Белаг Южн., 2А
3837   42.9459200   43.5328100  3700  пер. Галдор Вост. /Восточный Галдор, Харес, Клык/, 2А
3838   42.9496000   43.5282500  3750  пер. Галдор Зап., 2Б
3842   42.9391800   43.6410500  3375  пер. Дашивцек /Дешивцек, Дасифцаг/, н/к
3846   42.9418539   43.5644019  3636  пер. Загадок, 1Б
3847   42.9957170   43.5180830  3680  пер. Зюзина /А.С. Зюзина, Ангстрем/, 1Б
3849   42.9449400   43.5723400  3690  пер. Кедрина /Д. Кедрина/, 2А
3853   42.9723900   43.5047400  3700  пер. Метеоровцев /Хазны, Хазны-Метеоровцев/, 3А
3856   42.9632700   43.5060300  4000  пер. Нахашбита, 3А
3857   42.9888700   43.6074000  3300  пер. Нойлагавцек, 1А
3863   42.9826200   43.6021100  3629  пер. Сауцагат Сев., 1А
3864   42.9792100   43.5972500  3680  пер. Сауцагат Южн., 1А
3865   42.9426000   43.5695333  3640  пер. Светлова /М.Светлова/, 1Б
3874   42.9446400   43.5525500  3500  пер. Уруймаговой /Езетхан Уруймаговой, 200-летия ЛГИ/, 2А
3875   42.9897000   43.5159300  3860  пер. Федоровского, 2А
3877   42.9714333   43.5045833  3710  пер. Хазны-Шевченко /Шевченко, Хазны/, 2Б*
3879   42.7871160   43.7486260  3713  пер. Караугомский ледопад, 3А*
3880   42.7798420   43.8070500  4300  пер. Уилпатинский С., 3Б
3881   42.7689400   43.7965900  4440  пер. Караугом-Уилпатинский Ю., 3Б
3882   42.7587500   43.7811300  4200  пер. Караугом-Цей, 3А
3884   42.7882500   43.6892800  4000  пер. Бурджула С., 2Б
3885   42.7775000   43.6961111  3949  пер. Бурджула Ю., 2Б
3886   42.7903600   43.7073000  4000  пер. Гельфгата Б., 3А
3887   42.7983300   43.7727700  4000  пер. Караугом-Гулар, 3А*
3888   42.7999000   43.7741300  4300  пер. Купол Воолагаты /Купол Вологаты/, 2Б
3889   42.7691400   43.7041200  4000  пер. ЛГУ /Латвийского госуниверситета/, 2А*
3891   42.7605200   43.7652800  3850  пер. Шови В., 2А*
3893   42.7646400   43.7596600  3880  пер. Шови Центр., 2Б
3894   42.7629200   43.7426100  3800  пер. Бокос-Бубис, 2А
3896   42.7760600   43.8123100  4000  пер. Воробьевский, 2Б
3897   42.8068700   43.7716400  4000  пер. Воологата /Вологата/, 2А*
3899   42.8563600   43.7532800  3400  пер. Гулар Верхн., 1Б
3900   42.8969400   43.7652400  2954  пер. Гуларвцек /Гулар, Казатфцаг/, н/к
3901   42.8165000   43.8677100  3700  пер. Даргом Верхн., 1Б
3904   42.8150700   43.8537100  3550  пер. Ендржеевского, 1Б
3906   42.8770750   43.9158667  2580  пер. Згидский, н/к
3912   42.7770500   43.6898200  3500  пер. Комарова, 2А
3916   42.7264300   43.8056700  3300  пер. Мамисон Верхн. /Верхний Мамисонский/, 1Б
3917   42.7056200   43.7939500  2851  пер. Мамисон /Мамисонский/, н/к
3921   42.8056400   43.8492400  4000  пер. Родина (С., Центр., Ю.) /Родина В, Родина З./, 2А
3922   42.7341667   43.8152778  3850  пер. Ронкетти, 2Б*
3923   42.8136200   43.7685200  3800  пер. Саудор, 2Б
3925   42.7442500   43.8829722  3770  пер. Скаазский /Сказский/, 2А*
3926   42.8244100   43.7624700  3780  пер. Стурвцек, 2А*
3927   42.8191100   43.9016900  3350  пер. Спартак, 1Б
3928   42.8107500   43.8418900  3750  пер. Уавси С., 1Б
3930   42.7878800   43.8243400  3970  пер. Уларг, 3А
3932   42.7533700   43.8323900  3320  пер. Хицан, 1Б
3933   42.8520600   43.7488900  3500  пер. Хуппара, 2А
3934   42.8426917   43.7458028  3450  пер. Хуппара Ю., 1Б
3935   42.8411400   43.7740200  3400  пер. Цахфедор, 2А
3937   42.7498100   43.7894400  4050  пер. Цей-Тбилиза, 3Б
3938   42.7443100   43.7991600  4100  пер. Чанчахи, 3Б
3941   42.8068300   43.7888500  3650  пер. Чилингини, 2А
3942   42.6331321   44.2333367  3230  пер. Авсанвандаг /Вациспарс/, 1А
3944   42.7389300   44.0605300  3500  пер. Бад В. /Ветреный/, 1Б
3945   42.7425300   44.0891400  3200  пер. Безымянный, 1А
3946   42.7436932   44.1216897  3314  пер. Боковой, 1А
3947   42.6984614   44.2228464  3485  пер. Бугульта В., 1Б
3948   42.6944738   44.2126815  3460  пер. Бугульта З., 1Б
3949   42.7120432   44.1326966  3718  пер. ВВС, 3А
3950   42.7353167   44.0758667  3500  пер. Встречный, 1Б
3951   42.7416222   44.1039694  3460  пер. Зуб, 1Б
3952   42.6915500   44.2390700  3500  пер. Закка /Закка Юж., Закка Вост./, 1Б
3953   42.7378200   44.0959400  3540  пер. Комлагат, 1Б
3954   42.7472756   44.1572164  3622  пер. Калота-Цазги /Хардотчин, Колота-Цазги/, 2Б
3955   42.6890803   44.1743456  3287  пер. Калота /Колота, Куртатинский/, н/к
3956   42.8051026   44.1934748  2850  пер. Кайский /Кайданский/, 1А
3957   42.7783027   44.1644520  3236  пер. Маршала Еременко /Уналский/, 1Б
3958   42.7410600   44.0637700  3500  пер. Муравей, 1А
3959   42.7272536   44.1171103  3424  пер. Охотников /Охотничий/, 1Б
3960   42.7673300   44.2009192  3300  пер. Осыпной /Осыпной Цазгинский/, 1Б
3961   42.7368000   44.1099361  3570  пер. Сталь Зап., 2А
3964   42.7191831   44.1278000  3670  пер. Сталь Ю. /Тепли В./, 2А
3966   42.7222819   44.1244472  3920  пер. Тепли З. /Тепли/, 2Б
3967   42.6720894   44.2454352  3150  пер. Терек /Сивераут Южный/, 2А
3969   42.6492965   44.2397905  3132  пер. Трусо /Трусовский/, н/к
3970   42.7556700   44.0385100  3500  пер. Урусти, 2А*
3971   42.7607124   44.1503876  3786  пер. Цазги /Цаджиу/, 2Б
3974   42.7402585   44.1452048  4014  пер. Хетагурова, 3А
3975   42.7163603   44.4206539  4522  пер. Алан, 3А*
3976   42.7118427   44.4213090  4400  пер. Алан Ю., 3А*
3977   42.6587670   44.5735990  2930  пер. Арша /Соберце/, н/к
3978   42.6583489   44.5575827  3387  пер. Гергети, н/к
3981   42.7458417   44.3160260  3967  пер. Дергалина, 2Б
3982   42.7104365   44.4115134  4346  пер. Джимарай /Джимарайский/, 3А
3983   42.7321700   44.3148600  3647  пер. Дзамараш, 1А
3984   42.7350111   44.3057965  3831  пер. Динамо, 1Б
3985   42.7385326   44.3953015  4274  пер. Зейгалан, 3А*
3987   42.7001910   44.5024070  4377  пер. Казбекский, 2Б-3А
3988   42.7386031   44.5040627  3916  пер. Кармадон /Южный Кармадон/, 2А
3989   42.7455308   44.5087856  3820  пер. Кармадон С., 2А-3А
3991   42.7187946   44.4347382  4100  пер. Колка, 3А
3993   42.6658225   44.2530159  3160  пер. Куракиаут, 1А
3994   42.7557636   44.3211740  3960  пер. Лико Донченты /Донченты/, 2Б*
3996   42.7204439   44.4543386  3911  пер. Майли-Суатиси, 3А
3998   42.7336400   44.3113700  3734  пер. Мидаграбин, 1Б
3999   42.7039460   44.4877730  4380  пер. Мнаиси /Мна/, 2Б
4000   42.6819444   44.4488889  3499  пер. Молодой коммунист, 1Б
4003   42.6760861   44.5036722  3950  пер. Орцвери, 2А
4006   42.7138330   44.4675390  4240  пер. 50 лет СССР, 2А-3А
4008   42.6962465   44.2757877  3600  пер. Ребро Сивераута, 2А
4009   42.7187571   44.3347945  3540  пер. Реси В., 2А
4010   42.7203167   44.3243667  3668  пер. Реси З., 1Б
4011   42.7003005   44.2976022  3600  пер. Реси Новый, 2А
4012   42.7209359   44.3208733  3500  пер. Реси С., 2А
4014   42.7014597   44.3404957  3657  пер. Реси-Теп, 2А
4015   42.6863200   44.2454900  3540  пер. Сивераут, 1Б
4016   42.6915389   44.2701225  3640  пер. Сивераут Ледовый, 2Б
4017   42.7088787   44.4017197  4143  пер. Суатиси, 3А
4020   42.6870905   44.3851787  3892  пер. Теп-Суатиси, 2А
4021   42.7088151   44.3891086  4023  пер. Теп В., 2Б
4022   42.7137631   44.3575315  3732  пер. Теп З., 2А-2Б
4023   42.7579835   44.3973620  3609  пер. Туманный /Камчатский/, 1Б
4024   42.7414370   44.2969335  3815  пер. Цариут, 2Б
4025   42.7477308   44.4251225  3893  пер. Цата, 2Б
4026   42.7150159   44.3393304  3718  пер. Цити, 2Б
4027   42.7531783   44.5297120  3700  пер. Чач /Чачский/, 3А
4028   42.7380234   44.4132970  4200  пер. Шау, 2Б*
4029   42.7575200   44.4365100  3911  пер. Шелестенко, 2А
4036   42.5928087   44.0154816  2925  пер. Бахфандак /Джомаг/, н/к
4038   42.5875900   43.9624800  3300  пер. Букет Осетии, 1А
4041   42.5333090   44.3647720  3179  пер. Вулканический, 1А
4042   42.6572500   43.6323700  3000  пер. Геске, 1А
4044   42.5849456   44.2504181  2900  пер. Гоцо, 1Б
4045   42.5488870   44.3308850  3363  пер. Деси /Десиком/, 1А
