# id   lat         lon           alt   title /other title/, cat
4038   42.5875900   43.9624800  3300  пер. Букет Осетии, 1А
4042   42.6572500   43.6323700  3000  пер. Геске, 1А
4055   42.6431800   43.9431700  2900  пер. Зругский /Зруг/, н/к
4070   42.6022222   43.8572222  3150  пер. Облачный, 1Б
4090   42.6032600   43.8433500  3350  пер. Халаца, 1Б*
10704   42.6080600   43.8373400  3150  пер. Дзерасса Верхний, 1Б
14650   42.5826000   43.8996500  3130  пер. Зругский перемет, 1А
15131   42.6538889   43.6216667  3076  пер. Западное Плечо Алавидзе, 1Б
15132   42.6575000   43.6325000  3070  пер. Чхаури, 1Б
15477   42.6498000   43.9467167  3138  вер. Тохта, нк
