# id   lat         lon           alt   title /other title/, cat
 360   42.1496300   78.3249400  4065  пер. Айлама, 2Б
 361   42.3266806   78.5446500  3765  пер. Алакель Северный, 1А
 362   42.3202000   78.5557800  3600  пер. Алакель Центральный, 1А
 363   42.3005827   78.5801459  3700  пер. Алакель Южный /Кирчимтор/, 1Б
 364   42.3805290   78.6975531  3700  пер. Аныртор С., 1А
 365   42.3393265   78.7325384  3700  пер. Аныртор Центр., 1А
 366   42.3202549   78.7304095  3700  пер. Аныртор Ю., 1Б
 367   42.2890111   78.7734087  4000  пер. Арашан С., 2Б
 368   42.2805250   78.7818680  4000  пер. Арашан Центр. /ЛГУ/, 1Б
 369   42.2748955   78.7832109  4000  пер. Арашан Ю., 2А
 370   42.1666500   78.3094333  4044  пер. Армейских туристов, 2А
 371   42.2195000   78.4472330  4200  пер. Арчалытор С., 2А
 372   42.2136800   78.4433500  4200  пер. Арчалытор Ю. /Дюкло/, 2Б
 373   42.2031944   78.2747778  3700  пер. Арчатор, 1А
 374   42.1983400   78.3166800  3900  пер. Асантукум, 2А
 376   42.1010700   78.0303500  3700  пер. Ашутор З., 1А
 377   42.2928944   78.4007944  3820  пер. Аютор /Аютор Вост./, 1А
 378   42.2995021   78.4011273  3830  пер. Аютор С., 1Б
 379   42.2874121   78.4119748  3900  пер. Аютор Ю. /Жукова/, 2Б
 380   42.1978965   78.4427611  4400  пер. Маречека /Б.Р. Маречека/, 3А
 381   42.0995411   78.2218451  4000  пер. ВМФ, 2А
 382   42.2741100   78.4222100  4008  пер. Гастелло, 1Б
 383   42.2811000   78.4300700  4070  пер. ГТО, 2А
 384   42.3288000   78.8700333  3800  пер. Дангибайтор, 1Б*
 386   42.1876465   78.1364089  3900  пер. Джайдектор, 1Б
 387   42.1853333   78.4403833  4186  пер. Джетыогуз /Оюнтер/, 2Б
 388   42.2477500   78.2248300  3700  пер. Джилысу С., 1А
 389   42.2385200   78.2415200  3900  пер. Джилысу Ц., 1Б
 390   42.2316800   78.2475400  3755  пер. Джилысу Ю., 1Б
 391   42.1682300   78.0789600  3500  пер. Джуматай, 1А
 392   42.1285800   78.0833300  3900  пер. Джуматай З., 1Б
 393   42.1311500   78.0912500  3800  пер. Джуматай Центр., 1А
 395   42.2509900   78.4321300  3800  пер. Димитрова, 2А
 397   42.1824640   78.1432406  4100  пер. Инструкторов, 1Б
 398   42.3084656   78.4017289  3900  пер. Иссык-Кульские Перья, 1Б
 399   42.2611111   78.5794444  3700  пер. Каменистый /Средний/, 1Б
 400   42.1318873   78.2727520  4300  пер. Карабаткак З., 3А
 401   42.1478000   78.1514800  3800  пер. Каратакия, 1А
 402   42.0675694   78.1735389  4300  пер. Карнизный /Олимпийский/, 2А
 403   42.4156167   78.7898833  3500  пер. Кашкасу, н/к
 404   42.1344100   78.1120600  3700  пер. Кашкатор С., 1А
 405   42.1208500   78.1183300  4000  пер. Кашкатор Ю., 1Б
 406   42.1131259   78.2719200  4200  пер. Загадка Боковая /Кельдыке/, 2А
 407   42.0954083   78.2196520  4300  пер. Кельдыке З., 2А*
 408   42.0730694   78.1347694  3900  пер. Киче-Борду, 1Б
 409   42.0972893   78.1318417  4100  пер. Киче-Кызылсу, 1Б
 410   42.3131622   78.4095067  3700  пер. Козья тропа, 1А
 411   42.2443667   78.5835500  4100  пер. Кулуарный, 2А*
 412   42.3033500   78.3402900  3400  пер. Кумбель /Восток/, н/к
 413   42.3361854   78.5404332  4000  пер. Кургактор, 1Б
 414   42.1013361   78.1363889  3900  пер. Лавинный З., 2А
 415   42.1185300   78.1563100  4000  пер. Лавинный Ложный, 1Б
 417   42.2413310   78.4296460  3700  пер. Лукавый, 1А
 418   42.2906000   78.4471300  3820  пер. Менделеевец, 2А
 419   42.1912300   78.4415500  4400  пер. Новосибирцев, 2Б*
 421   42.1960278   78.5222222  3900  пер. Онтор /Кокбор/, 1Б
 423   42.0692700   78.1383300  3900  пер. Оптимистов, 1Б
 426   42.0975300   78.1244200  3700  пер. Переметный, 1А
 427   42.0968365   78.1168250  4000  пер. Подкова, 1Б
 428   42.2791800   78.4162000  4020  пер. Призывников, 1Б*
 429   42.0770600   78.1739900  3900  пер. Провал, 1Б
 430   42.2224153   78.4421813  4100  пер. Рижан, 1Б
 431   42.2238939   78.4209145  4000  пер. Рижан ложный, 1Б
 432   42.1348167   78.1585667  4000  пер. Саватор, 1А
 433   42.1779192   78.1573890  4000  пер. Сибиряков, 1Б
 435   42.2036121   78.4428379  4400  пер. Сказка, 3А*
