# id   lat         lon           alt   title /other title/, cat
5252   41.9983846   78.7330336  4409  пер. Алые паруса, 2А
5256   41.9814928   78.6500585  4404  пер. Башкуль, 2А
5257   41.9790785   78.7322136  4770  пер. Блондинка, 1Б
5279   41.9827843   78.6129278  4490  пер. МЭИ, 1Б
5287   41.9685972   78.6095100  4230  пер. Сары В., 1Б
5293   41.9132077   78.7364809  3110  пер. Сыпучий, 1А
5296   41.9828190   78.8305082  3672  пер. Теректы, 1А
5297   41.9204649   78.7844267  3350  пер. Травянистый, 1А
5298   41.9640691   78.6426445  4650  пер. Туманный, 2А
8333   41.9972224   78.6887127  4370  пер. Удобный, 1А
9470   41.6779667   78.8158500  4158  пер. Джангарт, нк
9478   41.7470333   78.8453000  4488  пер. Ачикташсай, 1Б
9479   41.7516667   78.8183167  4535  пер. Лукоянова, 2А
9482   41.7313528   78.8575000  4250  пер. Тузмасай западный, 1Б
9485   41.7888917   78.8009000  3570  пер. Кызылмойнок, 1А
