# id   lat         lon           alt   title /other title/, cat
5510   41.9990250   79.4576444  4200  пер. Дозорный, 2Б
9267   41.7938000   79.0565000  4525  пер. Юшут, 2Б
9268   41.7420000   79.1301000  4450  пер. Казанский, 2А
9269   41.7509000   79.1390000  4630  пер. т/к Траверс, 2А
9270   41.9191000   79.2189000  4473  пер. Талдыбулак, 2А
9271   41.8963000   79.1433000  3775  пер. Кумар, 1Б
9477   41.6951667   79.0492500  4554  пер. Воротникова П.Е., 2А
10335   41.6831889   79.0271694  5050  пер. Чулактор Высокий, 3А
10798   41.9894580   79.0510270     0  пер. Бельэтэк
10809   41.6858453   79.0210147  5290  вер. Александра /Alexandra/
10810   41.7140028   79.0395975  4885  вер. Kathryn
10811   41.7110786   79.0740883  5190  вер. Pernille
