# id   lat         lon           alt   title /other title/, cat
11916   50.6132990  100.0070710  2629  вер. Улхэний-Зх-Ула
17609   50.4892400  100.3113600  2021  вер. Сант толгой
17610   50.5382000  100.4680800  1748  пер. Хондийн, н/к
17611   50.5354700  100.4401000  1830  вер. Доншиг толгой
17612   50.3681300  100.4171800  1887  вер. Модот толгой
17613   50.3413000  100.4802700  1911  пер. Дааган, н/к
17614   50.4659200  100.2650100  1863  пер. Сагсагийн, н/к
17615   50.3462300  100.2139400  2015  вер. Хурэн нуруу
17616   50.3351100  100.1938500  1809  пер. Улаан, н/к
17617   50.3484200  100.1049300  1849  пер. Хятадын доролж, н/к
17618   50.3505000  100.0372100  2046  вер. Борхэмш уул
17619   50.4194600  100.0610700  2168  вер. Зуун Харгана уул
17620   50.4564100  100.0286300  2289  вер. Устын гозгор
17621   50.5239000  100.0545500  2244  вер. Орхот уул
17622   50.5325300  100.1352300  2094  вер. Уринай уул
17623   50.5802900  100.1132600  2291  вер. Жинхайн нуруу
17624   50.6304100  100.1156600  2515  вер. Хирбист уул
