# id   lat         lon           alt   title /other title/, cat
7456   55.2749866  110.4245677  1540  пер. Укоинда Юж., 1А
7457   55.2960000  110.3884900  1370  пер. Укоинда, н/к
7458   55.1701150  110.6700620  1900  пер. Новосибирцев, 1А-1Б
7459   55.0834061  110.6148005  1500  пер. Дуван, н/к
7460   55.5856395  110.4423076  2436  вер. Акулимашкит
7461   54.8848953  110.5337951     0  пер. Днепропетровцев /Топа, Днепропетровский/, 2А
7462   54.7295391  110.4075917  2100  пер. Долсы, 1А
7463   54.7092826  110.4099861  2350  пер. Ветреный, 1Б
7464   54.6639245  110.4104198     0  пер. Иркутян, 1Б
7465   54.7641892  110.3700580     0  пер. Хожалый /Кабаний/, 1A
7579   55.7673809  110.4766930  2200  пер. Берeя, 1А
7608   55.2229642  110.8262094  2116  пер. Улюнчик /Таллин/, 1А
7609   55.0503214  110.8550295  2353  вер. Россыпной
7610   55.2355753  110.1698422  1894  вер. Арбан
7615   54.9880901  110.2456314  1820  пер. Преодоления, н/к
7616   54.8532074  110.4464911  1810  пер. Согзенный /Озерный, Алла/, 1А
7617   54.7852614  110.3580367  2260  пер. Баранова, 1А*
7618   55.6230534  110.4818723  1790  пер. Доброй Воли
7619   55.4316706  110.3575030  2304  вер. Мелкоозерный
7620   55.4617928  110.4433301  2387  вер. Синеозерный
7621   55.4180277  110.2718044  2224  вер. Гладкий
7622   55.4797913  110.1746351  2020  вер. Усть-Фролиха
7623   55.6375346  110.3177167  2200  вер. Угсукит
7624   55.5817699  110.1246093  2123  вер. Ирексокон
7625   55.4562377  110.1287009  1943  вер. Тыктыканчи
7626   55.3372409  110.0209679  1825  вер. Чукокит
7627   55.3509445  110.3513782  2287  вер. Лаканда
7628   55.3804347  110.4740239  2255  вер. Урел-Амутис
7629   55.4943659  110.3971064  2435  вер. Опасный
7630   54.6223120  110.4565742  2841  вер. пик Байкал
7631   55.5788971  110.1924843  1800  пер. Новгородский, 1А
7632   55.4711734  110.3095898  1750  пер. Замок, 1А
7633   55.5086371  110.3186706  1730  пер. Замок-2, 1А?
7634   55.3026269  110.2735600  1638  пер. Ширильды, н/к
7635   55.5762336  110.3549890  2040  пер. Симферопольский, 1А
7637   55.6013753  110.6712415  1940  пер. Медвежий, н/к
7638   55.4500440  110.3616064  2280  пер. Солмакан, н/к
7640   55.2298111  110.7881122  2020  пер. Лев.Бирамия
7641   54.8829386  110.5351548     0  пер. Десяти, 1Б
7642   54.8499860  110.4667979  1960  вер. пик Чипчикон
7643   54.7127198  110.3687477  2180  пер. Красноярский, 1Б
7644   54.5369437  110.2515993  1970  пер. Шаманкийский, 1А
7645   55.2544429  110.3163751  2249  вер. пик Хобой
7646   55.2514220  110.3321462  1830  пер. Хобой, н/к
7647   54.6626977  110.2202932  2000  пер. Мухар, 1Б
7650   54.9219957  110.5731667  2360  пер. Капсал /Карпусы/, 1Б?
7804   54.8684736  110.4620514  2342  вер. пик Самарина
7806   54.8430072  110.4314698  2136  вер. пик Н.Сианука
7807   54.9321102  110.5709620  1970  пер. Уральцев, 1Б
7808   54.9404137  110.5800444  1850  пер. В.Высоцкого, 1Б-2А
7809   54.7042874  110.4326163  2450  пер. 7809
7810   54.7006752  110.4478943  2721  вер. 2721
7813   54.9057051  110.5984204  2300  пер. 7813, 1Б
7814   55.1935271  110.7202885  1900  пер. Улюгна-Лев.Бирамья, 1А
7815   55.2526804  110.7126181  1920  пер. Бирамья, 1А
7816   55.3169482  110.6792509  1720  пер. Плато, н/к
7817   55.3755306  110.5326187  1440  пер. Ильбикайчи-Илогирь, н/к
7818   55.6434935  110.5904932  1980  пер. Светлая-Л.Тала, 1А
7819   55.6496304  110.6178694  2570  вер. Правая Тала
7820   55.1155058  110.7931360  2536  вер. 2536 /2571/
7821   55.3956956  110.0420968   800  пер. Бирая-Фролиха, н/к
7822   55.2374147  110.3390290  2000  пер. Олений, 1А
7823   55.1527474  110.3725944  1400  пер. Иркандан-Межевой, н/к
7849   54.8710510  110.5588347  2250  пер. Загорский /Аллинский/, 1Б-2А
7850   54.9433192  110.6180382  2200  пер. Теория, 1Б
7851   54.7453564  110.3572158     0  пер. Дикобраз, 2Б
7852   54.8813771  110.5493372  2360  пер. Орлиный, 1Б
7853   54.8729966  110.5244417  2240  пер. Центральноаллинский, 1А
7854   54.8841627  110.5543854  2320  пер. Солнечный, 1А
7855   54.8891167  110.5568167     0  вер. Солнечная
7857   54.7122169  110.3703010  2480  пер. Дивный, 1Б
7858   54.5340153  110.2435358     0  пер. Зубковский, 1Б
7859   54.4170018  110.1031575  1980  пер. Шаманка-Л.В.Курумкан, 1А
7860   55.5762624  110.0799700  1760  пер. Такшаки Ю., 1Б
7863   55.4905892  110.8126658  1577  вер. Мивоки
7864   55.5057456  110.6707318  2336  вер. Усть-Илогирь
7865   55.5581108  110.7252188  1996  вер. Круглая
7866   55.6734367  110.4734665  2050  пер. 60-лет ВЛКСМ, 1Б
7867   55.5776462  110.3609601  2078  пер. Фестивальный, 1А
7868   55.5387599  110.3327656  1620  пер. Башкирский, н/к
7869   55.4150040  110.2908396  1730  пер. Томпуда-Пр.Дагалдын, н/к
7870   54.8799491  110.5369738     0  пер. Десяти-2, 2А
7871   54.7266262  110.5130634  2100  пер. Алла-Долсы, 1А
7951   54.8522222  110.5584890  2300  пер. Сухотхэ, 1Б
7952   54.8589103  110.5763293  2460  пер. 60-лет.Октября, 1А-2А
7953   54.8480871  110.5758442  2662  вер. 2662
7955   55.1060518  110.7849524  2280  пер. Тульский, 1Б
8016   55.5895310  110.0901810  2174  вер. Такшаки
8017   55.5499170  110.2036520  1780  пер. Улыбка, 1Б
8018   55.5827820  110.0907410  1876  пер. Такшаки С., 1А
8019   55.5991770  110.0714610  1820  пер. 8019, ок.2А
8020   55.5877900  110.1024480  1880  пер. 8020, ок.1Б
8021   55.5487300  110.2147800  1740  пер. Птица, 1Б
8022   55.5502450  110.2101060  1800  пер. Всадники, ок.1А
8023   55.5538500  110.2651560  1780  пер. 8023, 1А
8024   55.4730620  110.3595227  2060  пер. Тарелка, 1А-1Б
8025   55.4530750  110.4027710  1930  пер. Озерный, 1А
8026   55.4580539  110.4146800  2219  вер. Озерная
8027   55.3797100  110.6000730  1870  пер. 8027, н/к
8028   55.3707138  110.6164934     0  пер. Карнизный, 1А
8120   54.5671690  110.3647680  2158  вер. пик Колобок
8121   54.5643010  110.3435050  1917  пер. Колобок, 1А
8122   54.6306920  110.3879490  2058  вер. 2058.7
8123   54.6255166  110.4093644  2260  пер. 8123
8124   54.7093040  110.3106670  2453  вер. 2453
8125   54.7098370  110.3214520  2300  пер. 8125
8126   54.7259590  110.2970740  1874  пер. Пятачок, 1А
8127   54.7763590  110.3350590  1980  пер. 8127, 1А-1Б
8128   54.7830270  110.3531370  2311  пер. Буратино, 1Б
8129   54.7881310  110.3522364  2100  пер. 8129, н/к
8130   54.8115970  110.3640110  2320  пер. Иркутских Горнотаежников, 1Б
8131   55.3659440  110.6659230  1970  пер. 8131, 1Б
8132   55.3726430  110.6528990  1930  пер. 8132, н/к?
