# id   lat         lon           alt   title /other title/, cat
8161   56.6526500  113.6127333  1720  пер. Пермский, 1А зимой
8162   56.6504667  113.6651833  2010  пер. Долгий, 2А*! зимой
8163   56.6355333  113.6781500  1950  пер. Первопроходцев, 2Б зимой
8164   56.6226167  113.6873667  1740  пер. Лыжный /Лыжный Зап./, н/к зимой
8166   56.6394667  113.6885333  2367  вер. Три Богатыря, 2А зимой
8168   56.4241500  113.5291000  1850  пер. Любимых Женщин, 1Б
8169   56.4576667  113.6235333  1730  пер. Слоник Вост., н/к* зимой
8170   56.5189667  113.7500667  2030  пер. Чашечка Сакэ /Траншейный/, 2А*! зимой
8171   56.6081667  113.7954500  1640  пер. Ангарский, н/к* зимой
8172   56.3975167  113.7146333  2150  пер. Двух Столиц, 2Б зимой
8173   56.4100000  113.5999833  1870  пер. Снежный, 1А зимой
8174   56.4032167  113.7376000  2515  вер. пик Туристской Дружбы Зап., 2А зимой
8176   56.3353712  113.7129960  1780  пер. 9 марта, 1А зимой
8177   56.3663692  113.7492406  1970  пер. Ангаракан, 1А
8179   56.3341342  113.7377955  1925  пер. Белая собака, 2А! зимой
8182   56.5352461  113.9833236  1850  пер. Протасов-чорр, 1Б! зимой
8184   56.5463321  113.9612604  1910  пер. Мамакан, н/к* зимой
8188   56.4499785  113.6161026  1620  пер. Слоник Зап., н/к зимой
8189   56.5007400  113.7054439  1780  пер. Дочки, н/к
8190   56.5192600  113.7600089  1950  пер. Великий Кормчий, 1А
8191   56.5248061  113.7626950  1905  пер. Пломбир, н/к зимой
8192   56.5272738  113.7719795  1930  пер. Хрюня /Северной свиньи/, 1Б зимой
8193   56.5334061  113.8166824  2100  пер. Гений Чучхе, 2А! зимой
8194   56.5297037  113.8898351  1850  пер. Бронницкий, 1Б*! зимой
8195   56.5677364  113.7924631  1740  пер. Сюрприз, н/к*! зимой
8197   56.5924210  113.9449104  1870  пер. Муйских Слонов, 2А зимой
8207   56.3428620  113.7521041  1860  пер. Южная Амнунда, 1Б*? зимой
8209   56.4057389  113.7440964  2493  вер. пик Туристской Дружбы Вост., 1А-1Б
8211   56.6279167  113.9781869  2213  вер. пик Стартовый
8216   56.6251650  113.7439759  1850  пер. 8216, 1А
8217   56.6286011  113.7577451  2100  пер. 8217, 1А
8218   56.6353761  113.8063509  2000  пер. 8218, 1А
8219   56.5217904  113.7299016  1990  пер. Медвежий, 1Б
13604   56.4200239  113.5862731  1838  пер. Неприступный, н/к
13605   56.4406961  113.5885161  1938  пер. Межозерный, 1А
13612   56.4072211  113.5065281  1633  пер. Диконеприступный, н/к
13613   56.4306390  113.5772670  1972  пер. 80-летия МИСиС, 1Б
13614   56.4010431  113.7322011  2368  пер. Обзорный, 1Б
13615   56.4116431  113.5865669  1850  пер. Солнечный, н/к
13616   56.4224719  113.5535511  1743  пер. Суровых Мужчин, 1А
13617   56.4994511  113.5374981  1720  пер. Ежик в тумане, 1Б
13624   56.6601161  113.8139481  1976  пер. Красивый, 1Б
