# id   lat         lon           alt   title /other title/, cat
11246   62.6798580  140.1121210  1230  пер. 11246 /Малтан-Куты/, н/к
11247   62.7219270  140.6284044  2944  вер. Палатка
11248   62.7171730  140.6428660  2780  пер. Палатка Вост., 2А
11249   62.7213110  140.6702080  2650  пер. Корейши, 1А
11250   62.7174010  140.6581890  2600  пер. Белорусский, 1А, зим.1Б
11251   62.7133600  140.6510850  2850  вер. в.2850
11252   62.7178084  140.6687451     0  вер. Узловая
11253   62.7030290  140.7879410  2600  вер. Белый Треугольник
11254   62.6930980  140.7758110  2550  пер. Дальневосточный, 2Б
11255   62.6861480  140.7977310  2490  пер. Приморский, 2А
11334   62.6738080  140.7650960  2500  пер. Нижегородский, 2Б
11335   62.6704120  140.7562650  2640  вер. в.2640
11370   62.6690127  140.7339650  2380  пер. Минчан /Минский/, 1А
11374   62.6907757  140.5975730  2550  пер. 50 лет Индигирской эксп., 1Б
11375   62.7000732  140.6354799  2601  вер. в.2601
11376   62.7045274  140.6402098  2600  пер. Агидель /Магаданский/, 1Б
11377   62.6999490  140.6404920  2480  пер. Находка, 1Б, зим.1Б
11378   62.6815140  140.6816650  2400  пер. Лежоева, 1Б
11379   62.6747890  140.6933150  2300  пер. Серошевского, 1А
11401   62.6958590  140.6153430  2515  пер. Столичный, 2А-2Б, зим.2А-2Б
11402   62.7134310  140.6510990  2720  вер. Обзорная
