# id   lat         lon           alt   title /other title/, cat
11230   62.3969480  141.3266710  2934  вер. Берилл
11231   62.4033200  141.3259510  2670  пер. Сихоте-Алинь, 2А, зим.1Б
11232   62.3899320  141.3250880  2717  пер. Азейкан /Высокий/, 2А
11233   62.3977210  141.3411090  2730  пер. Запорожский, 1Б
11234   62.3741730  141.3541140  2520  пер. Оротукан, 1Б
11235   62.4113810  141.3039010  2614  пер. Икар /Восход/, 1А-1Б, зим.1Б
11236   62.3864231  141.3158620  2550  пер. Днепровский, 1Б
11237   62.3839194  141.3285957  2780  пер. Сунтар-Хаята /Сунтар/, 1Б-2А
11239   62.3755691  141.3343446  2680  пер. Прощальный, 1Б
11240   62.3739330  141.3346740  2762  вер. пик Красногвардеец
11241   62.3742930  141.3222320  2540  пер. Переходной, 1Б
11242   62.3766164  141.2842150  2470  пер. Делькю, 1Б
11243   62.3798624  141.2716704  2777  вер. Фиеста
11244   62.3720420  141.3371650  2680  пер. 30 лет Магаданского туризма /Сибирских Козерогов/, 1Б-2А
11245   62.3703410  141.3401710  2750  вер. пик Б.Гельфгата
11246   62.6798580  140.1121210  1230  пер. 11246 /Малтан-Куты/, н/к
11247   62.7219950  140.6301760  2797  вер. Палатка
11248   62.7167080  140.6474820  2631  пер. Палатка Вост., 2А, зим.2Б
11249   62.7191330  140.6694570  2602  пер. Корейши, 1А
11250   62.7179760  140.6601850  2562  пер. Белорусский, 1А, зим.1Б
11252   62.7179000  140.6691690  2648  вер. Узловая /Гайдуковой/
11253   62.7036000  140.7907810     0  вер. Белый Треугольник
11254   62.6930980  140.7758110  2550  пер. Дальневосточный, 2А-2Б
11255   62.6861480  140.7977310  2490  пер. Приморский, 2А
11256   62.6149830  140.9331740  2480  пер. Переметный, 1А
11257   62.6185540  140.9500070  2740  пер. Ворота Бургали, 2А
11258   62.6050320  140.9495680  2795  пер. Мус-Хая Вост., 2А
11259   62.6045600  140.9408170  2964  вер. Мус-Хая
11260   62.6066700  140.9588430     0  вер. Динозавр
11261   62.4415306  141.3201593  2500  пер. Наст, 1Б
11262   62.4320937  141.3257104  2580  пер. Борей, 2А
11263   62.4160670  141.3283420  2600  пер. Мятежный, 1А-2А
11264   62.4161460  141.3188800  2900  вер. Таллин
11265   62.3429690  141.3866740  2620  пер. Рыжий, 1Б
11266   62.3455200  141.3730350  2540  пер. Лапинга, 1А
11267   62.3443960  141.3788960  2640  вер. 2640
11268   62.3346330  141.3856560  2320  пер. Водопадный, 1А
11269   62.3221410  141.4021930  2500  пер. Зубчатый /Никишова/, 1Б
11270   62.3195300  141.4215990  2801  вер. Никишова
11271   62.3020720  141.4135890  2460  пер. Акад.Сахарова, 1А
11272   62.2202910  141.3297490  2745  пер. Седло Раковского, 2Б
11273   62.2131610  141.3247036  2889  вер. Раковского
11274   62.2121330  141.3494410  2530  пер. Обзорный, 2А
11275   62.1542100  141.3023750  2600  пер. Широкий, 1Б
11276   62.1146890  141.3321090  2650  пер. Искра, 2А
11277   62.1136350  141.3226560  2741  вер. пик Обручева
11278   62.1048280  141.3226270  2570  пер. Питерский, 1Б
11279   62.1093870  141.3238850  2700  вер. пик 2700
11280   62.0881419  141.3122600  2525  пер. Томский /Арсеньева/, 1Б
11281   62.0727854  141.2953350  2550  пер. Надежда-1, 1Б
11282   62.0718370  141.3140650  2790  вер. пик Васьковского, 1Б-2А, зим.2А
11285   62.2031630  141.5415660  2215  пер. Паши Цветкова, 1А
11286   62.2095210  141.5497840  2260  пер. Шалунья, н/к
11287   62.2127070  141.5425810  2380  пер. Эхо, 1А
11288   62.2653380  141.6038170  1880  пер. Плоский, н/к
11289   62.2674940  141.5855760  1980  пер. Связной, 1А
11290   62.2629530  141.5780360  2300  вер. 2300
11291   62.2678040  141.5270620  2000  пер. Моренный, 1А
11292   62.2616920  141.5181250  2758  вер. Шаталова
11293   62.2584670  141.5232040  2560  пер. Прекрасная Елена, 1Б-2А
11294   62.2800120  141.5049090  2290  пер. Шаталова, 1А
11295   62.2876010  141.4540320  2500  пер. Гинзбурга /Липецкий/, 1Б
11296   62.2986360  141.4338700  2250  пер. Верный, 1А
11297   62.3046040  141.4202240  2500  вер. Советских Правозащитников
11298   62.3247430  141.4210410  2640  пер. Акация, 1Б
11299   62.3278020  141.4255090  2500  пер. Женское Счастье, 1Б
11301   62.3456950  141.3677340  2550  пер. Козлиный, 1Б
11302   62.3464890  141.3643950  2650  вер. МГЦТК
11303   62.3482260  141.3621710  2630  пер. Московских Туристов, 1Б
11304   62.3528480  141.3651390  2620  пер. Пальцы, 2А
11305   62.3520380  141.3611530  2710  вер. МФТ
11306   62.3573390  141.3525160  2500  пер. Никольского /В.Грушина/, 1Б
11307   62.3620230  141.3480190  2600  вер. Экологов
11308   62.3634280  141.3452650  2600  пер. Красногвардейского РТК, 1Б
11309   62.3881679  141.3225870  2820  вер. Узловая /пик Московский/
11310   62.3330690  141.2722827  2100  пер. Розовый-1, н/к
11311   62.3263700  141.2704910  2100  пер. Розовый-2, н/к
11312   62.3105880  141.2536280  2100  пер. Седло, н/к
11313   62.3174680  141.2241370  2540  пер. Девичий, 1Б
11314   62.3026490  141.2157260  2200  пер. Делькю-Когар, 1А
11315   62.3151340  141.2097880  2520  пер. Сомнительный, 1Б
11316   62.2769120  141.1989780  2740  вер. пик Вронского
11317   62.2765790  141.2220350  2200  пер. Охотничий, 1А
11318   62.2655230  141.1947990  2460  пер. Путешественников Верх., 1Б
11319   62.1899090  141.3005456  2480  пер. Муравленко, 1Б-2А
11320   62.1828770  141.3123220  2420  пер. Красивый /Красный/, 1А-1Б
11321   62.0534920  141.3511700  2700  пер. Лазо /Альтаир/, 2А
11322   62.0479220  141.3533230  2819  вер. Демократическая Россия
11323   62.0490130  141.3420740  2660  пер. Сургут /Одиннадцати/, 2Б
11324   62.0321740  141.3130390  2100  пер. Плечо, 1А
11325   62.0169820  141.2990130  2000  пер. Сыпучий, 1А
11326   62.0058370  141.2850000  1830  пер. Зеленый, н/к
11334   62.6735420  140.7644110  2588  пер. Нижегородский, 2А-2Б, зим.2А
11335   62.6709603  140.7574601  2726  вер. 2726 /между перевалами Минский и Нижегородский/
