# id   lat         lon           alt   title /other title/, cat
11269   62.3221410  141.4021930  2500  пер. Зубчатый /Никишова/, 1Б
11270   62.3192222  141.4204167  2801  вер. Никишова
11271   62.3020720  141.4135890  2460  пер. Акад.Сахарова, 1А
11272   62.2202910  141.3297490  2745  пер. Седло Раковского, 2Б
11273   62.2131610  141.3247036  2889  вер. Раковского
11274   62.2121330  141.3494410  2530  пер. Обзорный, 2А
11275   62.1542100  141.3023750  2600  пер. Широкий, 1Б
11276   62.1146890  141.3321090  2650  пер. Искра, 2А
11277   62.1136350  141.3226560  2741  вер. пик Обручева
11278   62.1048280  141.3226270  2570  пер. Питерский, 1Б
11279   62.1093870  141.3238850  2700  вер. пик 2700
11280   62.0881419  141.3122600  2525  пер. Томский /Арсеньева/, 1Б
11281   62.0727854  141.2953350  2550  пер. Надежда-1, 1Б
11282   62.0718370  141.3140650  2790  вер. пик Васьковского, 1Б-2А
11285   62.2031630  141.5415660  2215  пер. Паши Цветкова, 1А
11286   62.2095210  141.5497840  2260  пер. Шалунья, н/к
11287   62.2127070  141.5425810  2380  пер. Эхо, 1А
11288   62.2653380  141.6038170  1880  пер. Плоский, н/к
11289   62.2674940  141.5855760  1980  пер. Связной, 1А
11290   62.2629530  141.5780360  2300  вер. 2300
11291   62.2678040  141.5270620  2000  пер. Моренный, 1А
11292   62.2616920  141.5181250  2758  вер. Шаталова
11293   62.2584670  141.5232040  2560  пер. Прекрасная Елена, 1Б-2А
11294   62.2792200  141.5034900  2273  пер. Шаталова, 1А
11295   62.2876010  141.4540320  2500  пер. Гинзбурга /Липецкий/, 1Б
11296   62.2986360  141.4338700  2250  пер. Верный, 1А
11297   62.3055556  141.4208333  2500  вер. Советских Правозащитников
11298   62.3247430  141.4210410  2640  пер. Акация, 1Б
11299   62.3278020  141.4255090  2500  пер. Женское Счастье, 1Б
11310   62.3330690  141.2722827  2100  пер. Розовый-1, н/к
11311   62.3263700  141.2704910  2100  пер. Розовый-2, н/к
11312   62.3105880  141.2536280  2100  пер. Седло, н/к
11313   62.3174680  141.2241370  2540  пер. Девичий, 1Б
11314   62.3026490  141.2157260  2200  пер. Делькю-Когар, 1А
11315   62.3151340  141.2097880  2520  пер. Сомнительный, 1Б
11316   62.2769120  141.1989780  2740  вер. пик Вронского
11317   62.2765790  141.2220350  2200  пер. Охотничий, 1А
11318   62.2655230  141.1947990  2460  пер. Путешественников Верх., 1Б
11319   62.1899090  141.3005456  2480  пер. Муравленко, 1Б-2А
11320   62.1828770  141.3123220  2420  пер. Красивый /Красный/, 1А-1Б
11321   62.0534920  141.3511700  2700  пер. Лазо /Альтаир/, 2А
11322   62.0479220  141.3533230  2819  вер. Демократическая Россия
11323   62.0490130  141.3420740  2660  пер. Сургут /Одиннадцати/, 2Б
11324   62.0321740  141.3130390  2100  пер. Плечо, 1А
11325   62.0169820  141.2990130  2000  пер. Сыпучий, 1А
11326   62.0058370  141.2850000  1830  пер. Зеленый, н/к
11341   62.2021290  141.3107470  2750  пер. Ребро Раковского, 2А*
11360   62.3245070  141.2271250  2520  пер. Кавказский, 2А
11387   62.1156340  141.3132370  2600  пер. Обручева, 1Б
11388   62.1289020  141.3058690  2254  пер. Ильбей, 1Б
11389   62.1196370  141.3049920  2605  вер. Омега
11400   62.0895620  141.3454430  2618  пер. Югория, 2Б
11403   62.2481466  141.2650497  2217  пер. Геодезистов, 1A
11404   62.2438490  141.2809090  2420  пер. Разведка, 1Б
11405   62.2353320  141.2730530  2580  пер. Авиации, 2Б
11406   62.1904790  141.2690060  2540  пер. Космонавтики, 2А
11407   62.1874420  141.2577540  2450  пер. Корабелов, 1Б
11408   62.1822920  141.2398400  2260  пер. Московский, 1Б
11409   62.1408960  141.2891400  2500  пер. Олимпийский, 1Б
11410   62.0563290  141.3283470  2650  пер. Васьковского, 2Б
11411   62.0494720  141.3779750  2550  пер. Надежда, 2А
11412   62.0458970  141.3693670  2600  пер. Нефть Приобья, 1Б
11413   62.0369330  141.3695830  2580  пер. Безымянный, 1Б
11414   62.0541010  141.3943400  2510  пер. Высоцкого, 2А 
11415   62.2848550  141.4768840  2500  пер. Крома, 2А
11416   62.2378710  141.2951580  2680  пер. 70 лет Октября, 2А
11418   62.2354670  141.2932870  2670  пер. Садоводов, 2А
11421   62.2649090  141.2575130     0  пер. б/н, 1А зимой
11966   62.3250560  141.0161730  1710  пер. Кагань-Когар Зап., н/к
11967   62.3051960  141.0947930  1830  пер. Кагань-Когар Вост., н/к
13313   62.2061111  141.2925000  2560  пер. Олимпийский-2, 2А
