# id   lat         lon           alt   title /other title/, cat
 163   64.9208656   59.9478475  1070  пер. Плато Оленеводов /Оленеводов, N 16/, н/к
 164   64.8970500   59.8586700  1410  пер. Парнук /Неприступный, N 13/, 1Б
 165   64.8663000   59.7402200  1240  пер. Сюрприз /Печальный, Прямой, N 9/, 1А
 166   64.7743400   59.6489000   579  пер. Манья /N 7/, н/к
 167   64.6952900   59.7014200   650  пер. Ступенька /Каньонный, N 6/, н/к
 176   64.8794200   59.2231800   650  пер. Сундук /N 63, Южный Сундук/, н/к
 177   64.7983300   59.5627200   790  пер. Скалистый Зап. /N 64, Скалистый/, н/к
 178   64.9545900   59.4956000   890  пер. Харота /Мужичий, N 73/, н/к
 179   64.9271800   59.3079800   970  пер. Мария, 1А
 180   64.9829200   59.4583500  1065  пер. Двойной /Двойной Вост., N 75/, 1А
 182   64.9179400   59.5429800   858  пер. Барсукова /Медвежий, Медведь, Юнко-Вож, N 69/, н/к
6401   64.7821000   59.0990600   650  пер. Седью--Войвож-Сыня, н/к
8099   64.8899654   59.9635452  1685  вер. Алешкова
8100   64.8892056   59.8687730  1570  вер. Конгломератная
8102   64.8565400   59.8669300  1666  вер. Диоритовая
8105   64.8206854   59.9365974  1409  вер. Рума
8106   64.8761800   59.7391300  1537  вер. Верх.Вангыр
8107   64.9247057   59.5243909  1085  вер. Мрачная
8108   64.7891159   59.9517826   646  вер. Шамок
8109   64.7955121   59.7067905  1419  вер. Центральная
8110   64.7641711   59.7354353  1161  вер. Мег
8111   64.7910568   59.6284214  1175  вер. Орел
8112   64.7557629   59.6268112  1388  вер. Кварцитная
8113   64.7592410   59.8862997  1092  вер. Городкова
8114   64.9066528   59.4245972  1394  вер. Медвежий
8116   64.9986717   59.6927936   831  вер. Медвежья Лапа
8117   64.6806937   59.7960002  1411  вер. Сале-Урнехум
8118   64.7777061   59.8351778  1283  вер. Кыкъю
13547   64.8985028   59.8778917  1460  пер. 850-летия Москвы, 2Б
13549   64.8114800   59.2267800  1209  пер. Щель, 2А
14119   64.9970500   59.4907200  1645  вер. Колокольня Южная /Свердловских Туристов/
14160   64.9009800   59.9136000  1420  пер. Ломесьвож /N 15/, 2А-2Б
14161   64.9015600   59.8955700  1609  пер. Сыпучий /Маньхобе/, 2А
14162   64.8990861   59.8804667  1421  пер. Повсяншор /Тульский, N 14/, 1Б-2А
14163   64.9178667   59.7925750  1500  пер. Свердловский, 1Б-2А
14164   64.9086600   59.8200400  1449  пер. Пион /Корона, Неприступный, N 12/, 2А
14165   64.8842300   59.8248500  1483  пер. Неприступный, 3А
14166   64.9073500   59.8826972  1470  пер. Новый /Аленка, N 89/, 1Б-2А
14167   64.8925700   59.8663900  1500  пер. Геологов /N 99/, 1А
14168   64.8844400   59.8751400  1430  пер. Конгломерат /N 98/, 1А-1Б
14169   64.8993500   59.9456000  1600  пер. 92 /N 92/, 2А
14170   64.8722700   59.8859600  1490  пер. б/н, 1А
14171   64.8922400   59.9580600  1600  пер. Помпея /Маньхобе, N 93/, 2А
14175   64.8552800   59.7264900  1070  пер. Белка /Прямой, N 8/, н/к
14176   64.8358700   59.7096600  1010  пер. Странный, 1А
14177   64.8767900   59.6787600   835  пер. Вангырский /N 10/, н/к
14178   64.8887400   59.7659700   890  пер. Санный /Конный, N 11/, н/к
14179   64.8104600   59.6887200   999  пер. Банный, н/к
14180   64.8004500   59.6609100   850  пер. Маньинский, н/к
14181   64.8027200   59.5960200   870  пер. Скалистый Вост. /N 65/, н/к
14182   64.7817300   59.5544800   960  пер. Боковой, 1А
14183   64.7727400   59.7287200   803  пер. Карниз /Банный, N 106/, 1А
14184   64.7805600   59.7900000   870  пер. Осенний, н/к
14185   64.7454300   59.6392800   970  пер. Кварцитный Юж., н/к-1А
14186   64.6832500   59.4868500   640  пер. Паток-Вож, н/к
14187   64.7565667   59.6448667   865  пер. Кварцитный Вост. /Кварцитный/, 1Б-2А
14188   64.7635200   59.6305300  1057  пер. Кварцитный Сев., 1Б-2А
14219   64.9362000   59.6719000  1020  пер. Крутой /Крутой-2, N 71/, 1Б
14220   64.9196900   59.6164500  1046  пер. Ревда /Ревды, N 70/, 1А-1Б
14221   64.9750000   59.4849600  1070  пер. Авангард /Прямой, N 74/, 1А-1Б
14228   64.9757300   59.4411800  1080  пер. Ягиней, н/к-1А
14229   64.9904700   59.4264200   890  пер. Двойной Зап. /Сюрприз (?)/, н/к
14230   64.9292200   59.4662500   882  пер. Безымянный /Рудный, N 68/, н/к
14231   64.9306000   59.4307100  1060  пер. Медвежий /N 67/, 1А
14232   64.9311100   59.3634200   975  пер. Вечерний, 1А
14233   64.9290700   59.2841100  1050  пер. Мария Зап., 1Б
14234   64.8224400   59.4363800   943  пер. Туманный, 1А
14235   64.8355100   59.3443700   590  пер. Безымянный, н/к
14236   64.8186400   59.2976800  1278  пер. Озёрный, 1Б
14237   64.8035900   59.2691800  1220  пер. Котел, 2Б
14238   64.8083400   59.2860900  1270  пер. Долгий, 2А-2Б
14240   64.8030800   59.6775600  1060  пер. Водопадный, 1А
14249   64.6738200   59.7703000  1014  пер. Сальнёр /Сале-Урнехум/, 1А
14263   64.8193700   59.0846400   933  пер. б/н, 1А
14268   64.7609500   59.0942600   620  пер. Верблюд, н/к
14335   64.9197583   59.7942917     0  пер. Надежда, 2А
14338   64.9098611   59.9243250     0  пер. Десантников, 2А
14388   64.7943833   59.4502833   975  пер. б/н, 1А
14389   64.7692222   59.5162000   850  пер. б/н, н/к
14390   64.7853167   59.0801806   933  пер. б/н, 1А
15497   64.8395250   59.2724417  1087  пер. Озерный Северный, 1Б
15498   64.8321528   59.4061667  1078  пер. Мраморный Северный, 1Б
15555   64.8272222   59.2925000  1340  пер. Бермелеева, 2А
15651   64.9713300   59.5039200  1541  вер. Урал
15652   64.9754700   59.5258100  1584  вер. Масленникова
15653   64.9217200   59.7966900  1595  вер. пик Памяти
15654   64.9146200   59.7878500  1639  вер. Слава Бреста
15655   64.9109100   59.8111100  1551  вер. Уральский Следопыт
15656   64.9027400   59.8896500  1671  вер. Граничная
15657   64.9009000   59.9194300  1668  вер. Регули
15658   64.9009000   59.9258700  1702  вер. Свердлова
15659   64.8942000   59.8275722  1664  вер. Неприступная С.
15660   64.8807200   59.8238100  1639  вер. Неприступная Ю.
