# id   lat         lon           alt   title /other title/, cat
 161   65.0309319   60.2887185   950  пер. Малый Чендер
 163   64.9208656   59.9478474  1090  пер. Оленеводов, н/к, зим.1А
 166   64.7737871   59.6491049   578  пер. Манья, н/к, зим.н/к
8075   65.0081815   60.9604210  1057  вер. Понъиз
8076   65.0261094   60.8558291  1051  вер. Хасаваркаиз
8077   64.9401183   60.6519002  1186  вер. Кожимъиз
8078   64.9238213   60.6030471  1237  вер. Яптоиз
8079   64.8994589   60.6114234  1080  вер. Яптоиз
8080   64.7958172   60.3965286   869  вер. Собаколай
8081   64.7335422   60.4874930   605  вер. Салеяха-Пешна
8082   65.0094499   60.4356404  1233  вер. Гранитная
8083   65.0374658   60.3855795  1136  вер. Юж.Лезвие
8084   65.0655205   60.3959544  1344  вер. Сев.Лезвие
8085   65.1567301   60.5132273  1417  вер. Лапчаиз
8086   65.1751071   60.3536608  1164  вер. Сураиз
8087   65.2186945   60.3487705  1098  вер. Еркусей
8088   65.2283924   60.4136117  1248  вер. Черная
8089   65.2841261   60.7769847  1407  вер. Колокол
8090   65.2932626   60.8387837  1423  вер. Санаиз
8091   65.2337760   60.8567510  1318  вер. Каталамби
8092   65.0111824   60.3153206  1315  вер. Мал.Чендер
8093   65.0640482   60.1936243  1803  вер. Карпинского
8094   65.0350847   60.1135741  1895  вер. Народа
8095   64.9841513   60.0525170  1778  вер. Мансинер
8096   64.9496726   60.0074215  1743  вер. Зашита
8097   64.9211335   60.0933968  1379  вер. Высокая
8098   64.8826359   60.1258364  1077  вер. Пирамида
8099   64.8899654   59.9635452  1685  вер. Алешкова
8100   64.8892056   59.8687730  1570  вер. Конгломератная
8101   65.0455792   59.7580001  1663  вер. Манарага
8102   64.8562148   59.8647506  1666  вер. Диоритовая
8103   64.8524544   60.0205959  1374  вер. Теньдериз
8104   64.8455319   60.0751070  1262  вер. Псевдочендер
8105   64.8206854   59.9365974  1409  вер. Рума
8106   64.8749425   59.7393990  1537  вер. Верх.Вангыр
8107   64.9247057   59.5243909  1085  вер. Мрачная
8108   64.7891159   59.9517826   646  вер. Шамок
8109   64.7955121   59.7067905  1419  вер. Центральная
8110   64.7641711   59.7354353  1161  вер. Мег
8111   64.7910568   59.6284214  1175  вер. Орел
8112   64.7557629   59.6268112  1388  вер. Кварцитная
8113   64.7592410   59.8862997  1092  вер. Городкова
8114   64.9065928   59.4227366  1394  вер. Медвежий
8115   65.0150342   59.4935576  1640  вер. Колокольня
8116   64.9986717   59.6927936   831  вер. Медвежья Лапа
8117   64.6806937   59.7960002  1411  вер. Сале-Урнехум
8118   64.7777061   59.8351778  1283  вер. Кыкъю
