# id   lat         lon           alt   title /other title/, cat
 163   64.9208656   59.9478474  1090  пер. Оленеводов, н/к, зим.1А
 166   64.7737871   59.6491049   578  пер. Манья, н/к, зим.н/к
8099   64.8899654   59.9635452  1685  вер. Алешкова
8100   64.8892056   59.8687730  1570  вер. Конгломератная
8102   64.8562148   59.8647506  1666  вер. Диоритовая
8105   64.8206854   59.9365974  1409  вер. Рума
8106   64.8749425   59.7393990  1537  вер. Верх.Вангыр
8107   64.9247057   59.5243909  1085  вер. Мрачная
8108   64.7891159   59.9517826   646  вер. Шамок
8109   64.7955121   59.7067905  1419  вер. Центральная
8110   64.7641711   59.7354353  1161  вер. Мег
8111   64.7910568   59.6284214  1175  вер. Орел
8112   64.7557629   59.6268112  1388  вер. Кварцитная
8113   64.7592410   59.8862997  1092  вер. Городкова
8114   64.9065928   59.4227366  1394  вер. Медвежий
8116   64.9986717   59.6927936   831  вер. Медвежья Лапа
8117   64.6806937   59.7960002  1411  вер. Сале-Урнехум
8118   64.7777061   59.8351778  1283  вер. Кыкъю
