# id   lat         lon           alt   title /other title/, cat
9999   65.1773500  146.0109500  3003  вер. Победа
12629   65.0632500  146.0747500  2050  пер. Новосибирский, 1А
13817   65.1429167  146.0751667  2250  пер. Озерный Восточный, 1Б
13837   65.1608056  146.0238889  2270  пер. Казанский, 2А*
13839   65.2061389  146.0395278  2475  пер. II съезда РСДРП, 1Б*
13840   65.1921111  146.0371944  2360  пер. Шатер, 1Б*
13841   65.1717222  146.0204722  2500  пер. Кюретерский, 1Б*
13842   65.1865833  146.0420000  2770  пер. Магаданский /Буковинский/, 2А
13843   65.1787222  146.0303889  2800  пер. Спортивного туризма, 3А
13844   65.2098889  146.0632222  2580  пер. Волгоградский, 2Б
13854   65.2002222  146.0118889  2590  пер. Московский, 3А
14323   65.1556111  146.0140278     0  вер. Белый Парус, 2А
15581   65.0594444  146.1097222  2235  пер. Чукча Восточный, 1Б зимой
16140   65.3264900  146.0428900     0  пер. Бастилия, 3А
16141   65.3238000  146.0392900     0  пер. Арзамас-2, 2Б-3А
16142   65.3177400  146.0253000     0  пер. Боковой, 1Б
16143   65.3170300  146.0297600     0  пер. Байкал /Арзамас-1/, 1Б
16149   65.2924300  146.0071000     0  пер. Толля, 2А
16150   65.2954800  146.0185100     0  пер. Каунас, 1Б
16151   65.2939000  146.0217800     0  пер. Олимпийский, 2А
16152   65.2933600  146.0343100     0  пер. Верхний, 2А
16153   65.2960500  146.0410000     0  пер. Юность, 2А
16154   65.2981700  146.0471800     0  пер. Смирнова, 1А
16155   65.2878300  146.0324200     0  пер. Ленский Сев., 2А
16156   65.2860000  146.0358500     0  пер. Ленский, 2А
16157   65.2869700  146.0501000     0  пер. Волга, 1А
16158   65.2941100  146.1449400     0  пер. Полярная Звезда, 2Б
16159   65.2834600  146.1415100     0  пер. Казахстан, 2А
16160   65.2672300  146.1231400     0  пер. Стадухина, 1Б
