# id   lat         lon           alt   title /other title/, cat
8403   69.2578475   92.9687335  1400  пер. Коммунар
8404   69.2477040   92.7889904  1220  пер. Крутой
8405   69.2526002   92.8240464  1300  пер. Ясная Поляна
8412   69.0347904   92.2925835   660  пер. Хихикаль-Икон, н/к-1А
8413   69.0779629   92.5927229  1060  пер. Жанна, 1А
8414   69.0378691   92.5832924  1180  пер. 8414, 1А
8415   69.1478655   92.5079147   960  пер. Моя-Ачин, 1А
11512   69.2826380   92.0883260  1240  вер. Элдэн
11514   69.2686580   92.8763750  1446  вер. Полуторатысячник
11515   69.2749520   92.6509930  1483  вер. Кривун
11516   69.1878770   92.6484410  1496  вер. Средний
11517   69.2227640   92.4078390  1551  вер. Чалояк
11518   69.1636700   92.3813220  1315  вер. Снежник
11522   69.0275080   92.1200270  1174  вер. Токингда
11523   69.0652330   92.8970980  1210  вер. Юж.Отрог
11524   69.1290980   92.4568970  1284  вер. Ледник
11525   69.1226000   92.9184490  1341  вер. пик Недоступный
