# id   lat         lon           alt   title /other title/, cat
8395   68.9831112   92.6248814  1150  пер. Комсомольский
8397   68.8122170   91.8927830   300  пер. Орокан
8401   69.6497652   91.6188448   860  пер. Победа
8402   69.5750845   92.0261335   860  пер. Лунный
8403   69.2578475   92.9687335  1400  пер. Коммунар
8404   69.2477040   92.7889904  1220  пер. Крутой
8405   69.2526002   92.8240464  1300  пер. Ясная Поляна
8410   69.2633400   91.2983200   903  пер. Омон-Юрях, 1А
8411   69.1225879   91.6070825   300  пер. Дынкенгда, н/к
8412   69.0347904   92.2925835   660  пер. Хихикаль-Икон, н/к-1А
8413   69.0779629   92.5927229  1060  пер. Жанна, 1А
8414   69.0378691   92.5832924  1180  пер. 8414, 1А
8415   69.1478655   92.5079147   960  пер. Моя-Ачин, 1А
8417   69.2632200   91.2076100   978  пер. 8417
8418   69.2607400   91.2398900  1034  пер. МИТХТ, 1Б?
8419   69.2262000   91.6817200  1034  пер. 8419, 1А
8420   69.2305100   91.9237600  1007  пер. 8420, 1А
8421   69.2696900   91.8987800  1365  вер. Плато
8422   69.7220900   92.1851800  1591  вер. Богатырь
11503   69.9918920   91.2892390  1018  вер. Ушкан
11504   69.9838860   92.0397470  1086  вер. Ровный
11505   69.8125860   92.0052320  1578  вер. Террасы
11506   69.7195550   91.7163860  1372  вер. Орлиная
11507   69.5929730   92.1163350  1303  вер. Хребтовый
11508   69.6425150   92.3812970  1555  вер. Плоская
11509   69.4379900   92.9480290  1179  вер. Ступенчатый
11510   69.5352660   92.3175930  1175  вер. Скульптурная
11511   69.5021550   91.6873440  1138  вер. Отрог
11512   69.2826380   92.0883260  1240  вер. Элдэн
11513   69.3916720   92.2574950  1491  вер. Падэй
11514   69.2686580   92.8763750  1446  вер. Полуторатысячник
11515   69.2749520   92.6509930  1483  вер. Кривун
11516   69.1878770   92.6484410  1496  вер. Средний
11517   69.2227640   92.4078390  1551  вер. Чалояк
11518   69.1636700   92.3813220  1315  вер. Снежник
11519   69.1856940   91.9761950  1195  вер. Светлый
11520   69.0780160   91.1070570  1097  вер. Бильде
11521   69.0110040   91.5667870  1181  вер. Ланга
11522   69.0275080   92.1200270  1174  вер. Токингда
11523   69.0652330   92.8970980  1210  вер. Юж.Отрог
11524   69.1290980   92.4568970  1284  вер. Ледник
11525   69.1226000   92.9184490  1341  вер. пик Недоступный
